Episode,Score,Average_Score
1,-467.59949095387447,-467.59949095387447
2,-420.57144367128075,-444.08546731257763
3,-141.53729741538095,-343.2360773468454
4,-230.85458649629163,-315.14070463420694
5,-544.6967508969856,-361.0519138867627
6,-265.1571690678934,-345.06945641695114
7,-350.6531778463553,-345.867130906866
8,-64.96787055638544,-310.7547233630559
9,-292.8033723546914,-308.76012880657095
10,-124.68615945999359,-290.35273187191325
11,-101.85153384738788,-273.21625932422916
12,-269.51585698000287,-272.90789246221027
13,-342.95886085058555,-278.2964284920853
14,-134.94579355599345,-268.05709742522157
15,-137.0879927130111,-259.3258237777409
16,-321.18199994995905,-263.19183478850454
17,-296.7721123037685,-265.16714523057885
18,-178.76940006542173,-260.36727049918125
19,-256.0040098690673,-260.13762520285945
20,-123.34133978511191,-253.29781093197207
21,-100.6365278902438,-246.02822602522312
22,-112.99893187516018,-239.981439927493
23,-122.63270051788619,-234.8793208227275
24,-97.67908258898034,-229.1626442296547
25,-46.104622093646555,-221.84032334421437
26,-84.70345413889463,-216.56582837477902
27,-99.41890080305966,-212.22705327953014
28,-135.5172287236135,-209.4874166882474
29,-173.30882686088142,-208.23987910799343
30,-139.6378369753502,-205.95314437023865
31,-68.54746476377977,-201.52070309261094
32,-84.31006853383911,-197.85787076264927
33,-42.07643859814523,-193.13722130311885
34,-121.14173556919128,-191.01970701682686
35,-103.59346032857974,-188.5218142543055
36,-198.0262770948501,-188.7858271109873
37,-53.240957275958834,-185.12245225058115
38,-270.88471629057835,-187.37935393584422
39,-157.4301958360939,-186.6114268050814
40,16.96262190617341,-181.52207558730007
41,-184.47863297939375,-181.59418674320477
42,-166.90917924626407,-181.24454370756334
43,-187.46165585813043,-181.38912771106487
44,-159.1004222030394,-180.88256622224614
45,-56.0042083541348,-178.10749160295475
46,-166.74458946505996,-177.8604719912614
47,-263.71096423056076,-179.68707820911882
48,-223.6148369615887,-180.6022398497953
49,-84.02088145045069,-178.63119171919644
50,-127.63270500847841,-177.61122198498208
51,-246.57644766980954,-178.96348131213554
52,-125.32625089948624,-177.93199611189232
53,-57.59818471098876,-175.66154684017715
54,-86.21360797100043,-174.00510352778497
55,-63.19492452978844,-171.9903730005487
56,-200.0069868391461,-172.4906696762379
57,-98.98278184821812,-171.20105760907967
58,-69.12907002652075,-169.44119575420794
59,-50.477468157795826,-167.42486138816707
60,-372.3842305172094,-170.8408508736511
61,-151.90167203828204,-170.53037253208768
62,-297.5118105068858,-172.5784602413586
63,-397.75863975966627,-176.15274880514127
64,-221.98531815665325,-176.86888270125866
65,4.413542583293548,-174.07992231226555
66,-221.77804506540386,-174.80262114185857
67,-69.68146896705899,-173.23364872133916
68,-54.04550321806659,-171.4808818757028
69,-36.945430908446426,-169.53109273124983
70,-103.18833674363233,-168.58333907428386
71,-350.312173250227,-171.14290011901548
72,-132.33260496071608,-170.60386824181683
73,-390.72877788147474,-173.61927796290803
74,1.4431446084160626,-171.25356954978204
75,-46.63438527365359,-169.59198042610032
76,-158.36002633680147,-169.44419155650428
77,-85.54507609808701,-168.35459265444692
78,-275.76319587788606,-169.7316260291064
79,-278.61457357017383,-171.10989118785406
80,-279.63740871485504,-172.4664851569416
81,-127.35142811383255,-171.9095091440637
82,-203.39224840792969,-172.293444988745
83,-260.5235255356898,-173.35645800738286
84,-185.7436665271674,-173.50392477547553
85,-104.72965206219858,-172.6948156847311
86,-277.83293291997813,-173.91735193165258
87,-80.90694273795064,-172.8482667685066
88,-221.94294870807775,-173.40616088145626
